pruid,prname,date,numtotal,numdeathstoday
59,British Columbia,2020-04-06,1266,1
48,Alberta,2020-04-06,1348,1
47,Saskatchewan,2020-04-06,253,0
46,Manitoba,2020-04-06,204,0
35,Ontario,2020-04-06,4347,13
24,Quebec,2020-04-06,8580,27
10,Newfoundland and Labrador,2020-04-06,226,1
13,New Brunswick,2020-04-06,103,0
12,Nova Scotia,2020-04-06,293,0
11,Prince Edward Island,2020-04-06,22,0
60,Yukon,2020-04-06,7,0
61,Northwest Territories,2020-04-06,5,0
62,Nunavut,2020-04-06,0,0
99,Repatriated travellers,2020-04-06,13,0
1,Canada,2020-04-06,16667,43
59,British Columbia,2020-04-07,1291,4
48,Alberta,2020-04-07,1373,2
47,Saskatchewan,2020-04-07,260,0
46,Manitoba,2020-04-07,217,1
35,Ontario,2020-04-07,4726,21
24,Quebec,2020-04-07,9340,29
10,Newfoundland and Labrador,2020-04-07,228,0
13,New Brunswick,2020-04-07,105,0
12,Nova Scotia,2020-04-07,310,0
11,Prince Edward Island,2020-04-07,22,0
60,Yukon,2020-04-07,7,0
61,Northwest Territories,2020-04-07,5,0
62,Nunavut,2020-04-07,0,0
99,Repatriated travellers,2020-04-07,13,0
1,Canada,2020-04-07,17897,57
59,British Columbia,2020-04-08,1336,5
48,Alberta,2020-04-08,1423,3
47,Saskatchewan,2020-04-08,271,0
46,Manitoba,2020-04-08,221,0
35,Ontario,2020-04-08,5276,21
24,Quebec,2020-04-08,10031,25
10,Newfoundland and Labrador,2020-04-08,232,0
13,New Brunswick,2020-04-08,108,0
12,Nova Scotia,2020-04-08,342,1
11,Prince Edward Island,2020-04-08,24,0
60,Yukon,2020-04-08,7,0
61,Northwest Territories,2020-04-08,5,0
62,Nunavut,2020-04-08,0,0
99,Repatriated travellers,2020-04-08,13,0
1,Canada,2020-04-08,19289,55
59,British Columbia,2020-04-09,1370,2
48,Alberta,2020-04-09,1451,3
47,Saskatchewan,2020-04-09,278,0
46,Manitoba,2020-04-09,224,0
35,Ontario,2020-04-09,5759,26
24,Quebec,2020-04-09,10912,41
10,Newfoundland and Labrador,2020-04-09,236,1
13,New Brunswick,2020-04-09,111,0
12,Nova Scotia,2020-04-09,373,1
11,Prince Edward Island,2020-04-09,25,0
60,Yukon,2020-04-09,8,0
61,Northwest Territories,2020-04-09,5,0
62,Nunavut,2020-04-09,0,0
99,Repatriated travellers,2020-04-09,13,0
1,Canada,2020-04-09,20765,74
59,British Columbia,2020-04-10,1410,5
48,Alberta,2020-04-10,1500,7
47,Saskatchewan,2020-04-10,285,0
46,Manitoba,2020-04-10,230,1
35,Ontario,2020-04-10,6237,22
24,Quebec,2020-04-10,11677,25
10,Newfoundland and Labrador,2020-04-10,239,0
13,New Brunswick,2020-04-10,112,0
12,Nova Scotia,2020-04-10,407,0
11,Prince Edward Island,2020-04-10,25,0
60,Yukon,2020-04-10,8,0
61,Northwest Territories,2020-04-10,5,0
62,Nunavut,2020-04-10,0,0
99,Repatriated travellers,2020-04-10,13,
1,Canada,2020-04-10,22148,60
59,British Columbia,2020-04-11,1445,3
48,Alberta,2020-04-11,1569,1
47,Saskatchewan,2020-04-11,289,1
46,Manitoba,2020-04-11,242,0
35,Ontario,2020-04-11,6648,31
24,Quebec,2020-04-11,12292,48
10,Newfoundland and Labrador,2020-04-11,241,0
13,New Brunswick,2020-04-11,112,0
12,Nova Scotia,2020-04-11,428,0
11,Prince Edward Island,2020-04-11,25,0
60,Yukon,2020-04-11,8,0
61,Northwest Territories,2020-04-11,5,0
62,Nunavut,2020-04-11,0,0
99,Repatriated travellers,2020-04-11,13,
1,Canada,2020-04-11,23317,84
59,British Columbia,2020-04-12,1445,0
48,Alberta,2020-04-12,1651,4
47,Saskatchewan,2020-04-12,298,0
46,Manitoba,2020-04-12,242,0
35,Ontario,2020-04-12,7049,21
24,Quebec,2020-04-12,12846,39
10,Newfoundland and Labrador,2020-04-12,242,0
13,New Brunswick,2020-04-12,114,0
12,Nova Scotia,2020-04-12,445,0
11,Prince Edward Island,2020-04-12,25,0
60,Yukon,2020-04-12,8,0
61,Northwest Territories,2020-04-12,5,0
62,Nunavut,2020-04-12,0,0
99,Repatriated travellers,2020-04-12,13,
1,Canada,2020-04-12,24383,64
59,British Columbia,2020-04-13,1490,11
48,Alberta,2020-04-13,1732,2
47,Saskatchewan,2020-04-13,300,0
46,Manitoba,2020-04-13,246,0
35,Ontario,2020-04-13,7470,17
24,Quebec,2020-04-13,13557,32
10,Newfoundland and Labrador,2020-04-13,244,0
13,New Brunswick,2020-04-13,116,0
12,Nova Scotia,2020-04-13,474,1
11,Prince Edward Island,2020-04-13,25,0
60,Yukon,2020-04-13,8,0
61,Northwest Territories,2020-04-13,5,0
62,Nunavut,2020-04-13,0,0
99,Repatriated travellers,2020-04-13,13,
1,Canada,2020-04-13,25680,63
59,British Columbia,2020-04-14,1517,3
48,Alberta,2020-04-14,1870,2
47,Saskatchewan,2020-04-14,301,0
46,Manitoba,2020-04-14,246,0
35,Ontario,2020-04-14,7953,43
24,Quebec,2020-04-14,14248,75
10,Newfoundland and Labrador,2020-04-14,244,0
13,New Brunswick,2020-04-14,116,0
12,Nova Scotia,2020-04-14,517,0
11,Prince Edward Island,2020-04-14,25,0
60,Yukon,2020-04-14,8,0
61,Northwest Territories,2020-04-14,5,0
62,Nunavut,2020-04-14,0,0
99,Repatriated travellers,2020-04-14,13,
1,Canada,2020-04-14,27063,123
59,British Columbia,2020-04-15,1561,3
48,Alberta,2020-04-15,1996,0
47,Saskatchewan,2020-04-15,304,0
46,Manitoba,2020-04-15,246,1
35,Ontario,2020-04-15,8447,56
24,Quebec,2020-04-15,14860,52
10,Newfoundland and Labrador,2020-04-15,247,0
13,New Brunswick,2020-04-15,117,0
12,Nova Scotia,2020-04-15,549,0
11,Prince Edward Island,2020-04-15,26,0
60,Yukon,2020-04-15,8,0
61,Northwest Territories,2020-04-15,5,0
62,Nunavut,2020-04-15,0,0
99,Repatriated travellers,2020-04-15,13,
1,Canada,2020-04-15,28381,112
59,British Columbia,2020-04-16,1561,0
48,Alberta,2020-04-16,2158,2
47,Saskatchewan,2020-04-16,305,0
46,Manitoba,2020-04-16,250,0
35,Ontario,2020-04-16,8961,38
24,Quebec,2020-04-16,15857,143
10,Newfoundland and Labrador,2020-04-16,252,0
13,New Brunswick,2020-04-16,117,0
12,Nova Scotia,2020-04-16,579,0
11,Prince Edward Island,2020-04-16,26,0
60,Yukon,2020-04-16,8,0
61,Northwest Territories,2020-04-16,5,0
62,Nunavut,2020-04-16,0,0
99,Repatriated travellers,2020-04-16,13,
1,Canada,2020-04-16,30092,183
59,British Columbia,2020-04-17,1575,2
48,Alberta,2020-04-17,2397,0
47,Saskatchewan,2020-04-17,307,0
46,Manitoba,2020-04-17,250,0
35,Ontario,2020-04-17,9525,55
24,Quebec,2020-04-17,16798,58
10,Newfoundland and Labrador,2020-04-17,256,0
13,New Brunswick,2020-04-17,117,0
12,Nova Scotia,2020-04-17,606,1
11,Prince Edward Island,2020-04-17,26,0
